Date,fmagx
1985-09-12,-0.005639097744360999
1985-09-13,-0.005671077504725952
1985-09-16,-0.0019011406844106071
1985-09-17,-0.015238095238095273
1985-09-18,0.0
1985-09-19,0.009671179883945724
1985-09-20,0.0019157088122607746
1985-09-23,0.011472275334607929
1985-09-24,-0.007561436672967825
1985-09-25,-0.005714285714285783
1985-09-26,-0.005747126436781436
1985-09-30,0.0
1985-10-01,0.01156069364161838
1985-10-02,-0.0019047619047618536
1985-10-03,0.00190839694656475
1985-10-04,-0.0019047619047618536
1985-10-07,-0.007633587786259555
1985-10-08,0.0
1985-10-09,0.0019230769230769162
1985-10-10,0.0038387715930903177
1985-10-11,0.007648183556405286
1985-10-14,0.009487666034155628
1985-10-15,0.001879699248120259
1985-10-16,0.007504690431519689
1985-10-17,0.005586592178770999
1985-10-18,0.0
